Well_id,titer,dcm,yield,Yeast_extract_source,Yeast_extract,Glycerol,Tryptone,Magnesium_sulfate,pH,Buffer_capacity,Osmolality,Category,Run_number,Replicate,Dipotassium_phosphate,Potassium_phosphate,Sodium_chloride,Well_bottom,Well_volume,Well_fill_volume,Well_cover,Shake_speed,Temperature,Time,Inoculum_amount,Inoculum_age,Antibiotic_conc,Flask_baffles,Flask_volume,Flask_fill_volume,Flask_cover,Exp_number,Random,Plate,Exp_plate,Row,Column,Well,Starter_culture,Exp_date,Plate_streak_date,Media_number,Strain
e45-1-B9,5.338721996909209,8.986392435499999,0.5940895676688934,1,24,5,12,0.12,7.2,90,750,Centerpoint,36,4,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e45,8,1,8,B,9,B9,17,2018-01-23T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e46-1-D6,5.991504684791927,9.9065454005,0.6048026272094331,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,1,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e46,8,1,1,D,6,D6,16,2018-01-24T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e46-1-D4,5.901584466398119,9.641245823000002,0.6121184517792704,1,24,5,12,0.12,7.2,90,750,Centerpoint,2,2,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e46,6,1,1,D,4,D4,16,2018-01-24T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e46-1-C6,5.39950013018794,9.547215592999999,0.5655575782898254,1,24,5,12,0.12,7.2,90,750,Centerpoint,3,3,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e46,4,1,1,C,6,C6,16,2018-01-24T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e46-1-D3,5.921724710112029,9.0737062205,0.6526246900889543,1,24,5,12,0.12,7.2,90,750,Centerpoint,4,4,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e46,5,1,1,D,3,D3,16,2018-01-24T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e47-1-C5,5.838111083075452,9.795724058000001,0.5959856615507219,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,1,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e47,3,1,1,C,5,C5,16,2018-01-31T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e47-1-C4,5.351901720666458,9.668111603,0.5535622612181856,1,24,5,12,0.12,7.2,90,750,Centerpoint,2,2,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e47,2,1,1,C,4,C4,16,2018-01-31T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e47-1-D4,5.9333344140004884,9.406170248,0.6307917311258608,1,24,5,12,0.12,7.2,90,750,Centerpoint,3,3,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e47,6,1,1,D,4,D4,16,2018-01-31T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e47-1-D3,5.989193348767065,9.070347998,0.6603046928395331,1,24,5,12,0.12,7.2,90,750,Centerpoint,4,4,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e47,5,1,1,D,3,D3,16,2018-01-31T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e48-1-D6,5.965145237277429,9.728559608000001,0.6131581115432714,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,1,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e48,8,1,1,D,6,D6,20,2018-02-03T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e48-1-C4,5.83900066246274,10.144979198000001,0.575555705783394,1,24,5,12,0.12,7.2,90,750,Centerpoint,2,2,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e48,2,1,1,C,4,C4,20,2018-02-03T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e48-1-C6,5.808375945035517,9.688260938,0.5995271991749813,1,24,5,12,0.12,7.2,90,750,Centerpoint,3,3,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e48,4,1,1,C,6,C6,20,2018-02-03T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
e48-1-C3,5.463296551855109,10.212143648000001,0.5349803861136508,1,24,5,12,0.12,7.2,90,750,Centerpoint,4,4,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e48,1,1,1,C,3,C3,20,2018-02-03T00:00:00Z,2018-01-23T00:00:00Z,"NA","NA"
